2020-06-08 20:17:28,896 INFO  ExportHelperExtension.cs: 1422 - Component 28 is already fixed
2020-06-08 20:17:28,896 INFO  ExportHelperExtension.cs: 1414 - Fixing 32
2020-06-08 20:17:28,897 INFO  ExportHelperExtension.cs: 1422 - Component 32 is already fixed
2020-06-08 20:17:28,897 INFO  ExportHelperExtension.cs: 1414 - Fixing 30
2020-06-08 20:17:28,897 INFO  ExportHelperExtension.cs: 1422 - Component 30 is already fixed
2020-06-08 20:17:28,898 INFO  ExportHelperExtension.cs: 1414 - Fixing 40
2020-06-08 20:17:28,898 INFO  ExportHelperExtension.cs: 1422 - Component 40 is already fixed
2020-06-08 20:17:28,898 INFO  ExportHelperExtension.cs: 1414 - Fixing 39
2020-06-08 20:17:28,898 INFO  ExportHelperExtension.cs: 1422 - Component 39 is already fixed
2020-06-08 20:17:28,899 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-06-08 20:17:28,899 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-06-08 20:17:28,899 INFO  ExportHelperExtension.cs: 1414 - Fixing 39
2020-06-08 20:17:28,899 INFO  ExportHelperExtension.cs: 1422 - Component 39 is already fixed
2020-06-08 20:17:28,900 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-06-08 20:17:28,901 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-06-08 20:17:28,901 INFO  ExportHelperExtension.cs: 1414 - Fixing 40
2020-06-08 20:17:28,902 INFO  ExportHelperExtension.cs: 1422 - Component 40 is already fixed
2020-06-08 20:17:28,902 INFO  ExportHelperExtension.cs: 1414 - Fixing 26
2020-06-08 20:17:28,903 INFO  ExportHelperExtension.cs: 1422 - Component 26 is already fixed
2020-06-08 20:17:28,904 INFO  ExportHelperExtension.cs: 1414 - Fixing 35
2020-06-08 20:17:28,904 INFO  ExportHelperExtension.cs: 1422 - Component 35 is already fixed
2020-06-08 20:17:28,905 INFO  ExportHelperExtension.cs: 1414 - Fixing 34
2020-06-08 20:17:28,905 INFO  ExportHelperExtension.cs: 1422 - Component 34 is already fixed
2020-06-08 20:17:28,905 INFO  ExportHelperExtension.cs: 1414 - Fixing 40
2020-06-08 20:17:28,906 INFO  ExportHelperExtension.cs: 1422 - Component 40 is already fixed
2020-06-08 20:17:28,906 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-06-08 20:17:28,906 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-06-08 20:17:28,907 INFO  ExportHelperExtension.cs: 1414 - Fixing 39
2020-06-08 20:17:28,907 INFO  ExportHelperExtension.cs: 1422 - Component 39 is already fixed
2020-06-08 20:17:28,907 INFO  ExportHelperExtension.cs: 1414 - Fixing 33
2020-06-08 20:17:28,908 INFO  ExportHelperExtension.cs: 1422 - Component 33 is already fixed
2020-06-08 20:17:28,908 INFO  ExportHelperExtension.cs: 1414 - Fixing 31
2020-06-08 20:17:28,908 INFO  ExportHelperExtension.cs: 1422 - Component 31 is already fixed
2020-06-08 20:17:28,909 INFO  ExportHelperExtension.cs: 1414 - Fixing 39
2020-06-08 20:17:28,909 INFO  ExportHelperExtension.cs: 1422 - Component 39 is already fixed
2020-06-08 20:17:28,909 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-06-08 20:17:28,909 INFO  ExportHelperExtension.cs: 1422 - Component 24 is already fixed
2020-06-08 20:17:28,910 INFO  ExportHelperExtension.cs: 1414 - Fixing 40
2020-06-08 20:17:28,910 INFO  ExportHelperExtension.cs: 1422 - Component 40 is already fixed
